owner,repository,stars,releases,created_at,url
opendataloader-project,opendataloader-pdf,13874,54,2025-05-13T05:48:02Z,https://github.com/opendataloader-project/opendataloader-pdf
pinpoint-apm,pinpoint,13821,63,2014-10-20T09:27:22Z,https://github.com/pinpoint-apm/pinpoint
seaswalker,spring-analysis,13761,0,2016-09-09T07:46:32Z,https://github.com/seaswalker/spring-analysis
JessYanCoding,AndroidAutoSize,13745,14,2018-08-17T09:04:19Z,https://github.com/JessYanCoding/AndroidAutoSize
lgvalle,Material-Animations,13710,0,2015-03-08T20:54:00Z,https://github.com/lgvalle/Material-Animations
LuckSiege,PictureSelector,13597,116,2017-01-04T07:47:39Z,https://github.com/LuckSiege/PictureSelector
tink-crypto,tink,13548,21,2014-06-06T16:21:09Z,https://github.com/tink-crypto/tink
Bigkoo,Android-PickerView,13465,0,2014-12-28T01:46:38Z,https://github.com/Bigkoo/Android-PickerView
projectlombok,lombok,13425,0,2009-06-08T19:46:41Z,https://github.com/projectlombok/lombok
macrozheng,mall-learning,13375,0,2019-04-12T13:20:31Z,https://github.com/macrozheng/mall-learning
pxb1988,dex2jar,13106,8,2015-03-16T09:13:07Z,https://github.com/pxb1988/dex2jar
metersphere,metersphere,13082,184,2020-02-03T02:06:12Z,https://github.com/metersphere/metersphere
youth5201314,banner,13040,0,2016-04-22T05:50:25Z,https://github.com/youth5201314/banner
alibaba,COLA,12920,11,2018-02-06T13:46:27Z,https://github.com/alibaba/COLA
macrozheng,mall-swarm,12906,3,2019-11-25T06:55:31Z,https://github.com/macrozheng/mall-swarm
plantuml,plantuml,12885,67,2010-11-04T15:55:50Z,https://github.com/plantuml/plantuml
microg,GmsCore,12875,45,2014-04-23T19:28:47Z,https://github.com/microg/GmsCore
codecentric,spring-boot-admin,12826,147,2014-07-25T11:39:13Z,https://github.com/codecentric/spring-boot-admin
Netflix,conductor,12782,319,2016-12-07T22:48:42Z,https://github.com/Netflix/conductor
apache,zookeeper,12751,0,2009-03-27T15:41:56Z,https://github.com/apache/zookeeper
google,guice,12735,19,2014-05-28T23:18:53Z,https://github.com/google/guice
opensearch-project,OpenSearch,12718,66,2021-01-29T22:10:00Z,https://github.com/opensearch-project/OpenSearch
trinodb,trino,12705,4,2019-01-19T06:38:14Z,https://github.com/trinodb/trino
Netflix,eureka,12698,152,2012-07-26T22:23:07Z,https://github.com/Netflix/eureka
facebook,stetho,12693,13,2015-01-22T22:34:10Z,https://github.com/facebook/stetho
greenrobot,greenDAO,12616,8,2011-10-22T16:15:14Z,https://github.com/greenrobot/greenDAO
debezium,debezium,12598,0,2016-01-22T20:17:05Z,https://github.com/debezium/debezium
zhihu,Matisse,12551,15,2017-04-13T01:31:05Z,https://github.com/zhihu/Matisse
LawnchairLauncher,lawnchair,12548,31,2017-03-03T13:12:58Z,https://github.com/LawnchairLauncher/lawnchair
daimajia,AndroidViewAnimations,12464,9,2014-06-23T03:53:13Z,https://github.com/daimajia/AndroidViewAnimations
daimajia,AndroidSwipeLayout,12380,18,2014-08-25T04:09:33Z,https://github.com/daimajia/AndroidSwipeLayout
