repository,cbo_avg,cbo_median,cbo_min,cbo_max,cbo_std,dit_avg,dit_median,dit_min,dit_max,dit_std,lcom_star_avg,lcom_star_median,lcom_star_min,lcom_star_max,lcom_star_std,loc_avg,loc_median,loc_min,loc_max,loc_std
justauth_JustAuth,5.51010101010101,2.0,0,21,6.031844343369494,1.3434343434343434,1.0,1,4,0.5816415796170477,0.1082453764779874,0.0,0.0,1.0,0.2656445486063396,30.57575757575757,17.0,4,866,64.97646444801597
openzipkin_zipkin,6.4487804878048784,5.0,0,36,5.372662768728449,1.554878048780488,1.0,1,23,1.5337196868743108,0.2620154405092707,0.0,0.0,1.0,0.3252891490940006,47.52682926829268,23.0,1,773,65.58265585806161
baomidou_mybatis-plus,5.906309751434034,4.0,0,225,9.47122655191724,1.3336520076481837,1.0,1,15,0.7890127374371537,0.2105249208726877,0.0,0.0,1.0,0.330358972417957,37.43594646271511,14.0,1,729,68.45458249460039
gyoogle_tech-interview-for-developer,1.3076923076923077,1.0,0,2,0.7510676161988107,1.0,1.0,1,1,0.0,0.1417582453846153,0.0,0.0,0.6666667,0.2244852571257455,48.92307692307692,42.0,8,188,45.56764484160068
material-components_material-components-android,7.1685499058380415,4.0,0,86,8.373287583278696,1.5409604519774012,1.0,1,11,0.9930129055352552,0.2243702367818267,0.0,0.0,1.0,0.3376825622794596,56.77495291902071,14.0,1,2497,146.5580068677878
alibaba_DataX,4.495908346972176,3.0,0,55,5.749869459881647,1.7152209492635024,1.0,1,8,1.5134929282465557,0.326640837609802,0.25,0.0,1.0,0.336234567634117,66.44353518821605,25.0,1,933,104.12177714081476
facebook_fresco,6.631368631368631,5.0,0,45,6.569549073184173,1.4155844155844155,1.0,1,14,0.892814024932899,0.2710365008408862,0.0,0.0,1.0,0.3506444703829739,46.44155844155844,17.0,1,583,69.7142656216705
nostra13_Android-Universal-Image-Loader,4.864285714285714,3.0,0,28,4.877212782122245,1.5857142857142856,1.0,1,6,0.9595091242435791,0.3300726994117647,0.133333335,0.0,1.0,0.3680459460897446,53.1,28.5,1,641,91.29533859360436
heibaiying_BigData-Notes,5.714285714285714,5.0,0,16,3.5125981644164272,1.2207792207792207,1.0,1,2,0.4174917781534153,0.1725555578666666,0.0,0.0,0.75,0.250306436428194,27.584415584415584,21.0,2,163,29.432505593462945
winterbe_java8-tutorial,1.0340909090909092,1.0,0,5,1.0444034059687686,1.0,1.0,1,1,0.0,0.0844065668181818,0.0,0.0,1.0,0.2058079969670146,23.64772727272728,19.0,2,95,20.01323686832676
shuzheng_zheng,4.49901768172888,3.0,0,40,5.716953911417975,1.4086444007858543,1.0,1,2,0.492066917854408,0.3580221967510548,0.0,0.0,1.0,0.3816905565646531,82.00785854616896,16.0,2,1017,154.78272788495332
prestodb_presto,8.815282239559432,6.0,0,429,12.374868696165814,1.3860333486308705,1.0,1,34,0.9635239038426696,0.3087345559522715,0.22222222,0.0,1.0,0.3334019383762455,61.88488603334863,27.0,1,3659,128.67224012993876
JeffLi1993_springboot-learning-example,4.614035087719298,3.5,0,19,3.868430822091385,1.043859649122807,1.0,1,3,0.2449616505002466,0.1669333405263157,0.0,0.0,0.8,0.2717226513265555,14.394736842105264,9.5,2,74,12.651641903345553
ashishps1_awesome-leetcode-resources,1.181818181818182,1.0,1,2,0.4045199174779452,1.0,1.0,1,1,0.0,0.06666667,0.0,0.0,0.6666667,0.2108185212188174,32.72727272727273,13.0,4,87,31.28287361829443
android-hacker_VirtualXposed,3.947006194081211,2.0,0,61,5.326070261755585,2.792842395044735,2.0,1,303,11.858632567217102,0.135506766697074,0.0,0.0,1.0,0.2882506087983217,32.85340674466621,8.0,1,1267,89.08773098705517
dyc87112_SpringBoot-Learning,4.453531598513012,4.0,0,16,2.984205402491424,1.0260223048327135,1.0,1,3,0.1813901940175176,0.0848827670967741,0.0,0.0,1.0,0.211594212335238,10.371747211895912,7.0,1,58,8.248660062784872
quarkusio_quarkus,5.186129061618276,4.0,0,178,6.388060337284264,1.2297563787506447,1.0,1,26,0.6668069595848334,0.2253351078842581,0.0,0.0,1.0,0.3420008434060387,28.89605897879312,11.0,1,4502,72.72431608354816
android10_Android-CleanArchitecture,5.142857142857143,4.0,0,22,4.670753051268507,1.4285714285714286,1.0,1,3,0.7051615043752368,0.2471206234285714,0.0,0.0,1.0,0.3278702991240827,21.52380952380953,13.0,2,201,27.08962874142032
apache_hadoop,7.468643412615399,4.0,0,358,11.432764174617272,1.6063486288598845,1.0,1,77,1.448914106816147,0.3016083200166979,0.0,0.0,1.0,0.3520809697589234,76.06189458365546,23.0,1,19657,218.93501061730208
